"section_number","section_title","description","example_use_cases","punishment"
"120A","Definition of criminal conspiracy","When two or more persons agree to do, or cause to be done, an illegal act, or an act which is not illegal by illegal means, such an agreement is designated a criminal conspiracy.","A and B agree to poison Z. This is a criminal conspiracy to commit murder.","Punishment as per Section 120B."
"120B","Punishment of criminal conspiracy","Whoever is a party to a criminal conspiracy to commit an offence punishable with death, imprisonment for life, or rigorous imprisonment for two years or more shall be punished in the same manner as if they had abetted such offence. A party to a criminal conspiracy to commit any other offence shall be punished with imprisonment up to six months, or fine, or both.","Conspiring to commit murder is punishable as abetment of murder. Conspiring to commit a minor theft is punishable with up to six months imprisonment.","For serious offences: Punishment for abetment of that offence. For other offences: Imprisonment up to six months, or fine, or both."
"121","Waging, or attempting to wage war, or abetting waging of war, against the Government of India","Whoever wages war against the Government of India, or attempts to wage such war, or abets the waging of such war, shall be punished with death, or imprisonment for life, and shall also be liable to fine.","Leading an armed insurrection against the Indian state.","Death, or imprisonment for life, and fine."
"121A","Conspiracy to commit offences punishable by Section 121","Whoever within or without India conspires to commit any of the offences punishable by Section 121, or to deprive the Government of India of its sovereignty, shall be punished with imprisonment for life, or with imprisonment up to ten years, and fine.","A group of people in a foreign country plan an armed attack on Indian soil to overthrow the government.","Imprisonment for life, or imprisonment up to ten years, and fine."
"122","Collecting arms, etc., with intention of waging war against the Government of India","Whoever collects men, arms, or ammunition or otherwise prepares to wage war with the intention of waging war against the Government of India, shall be punished with imprisonment for life, or imprisonment up to ten years, and fine.","Stockpiling weapons and recruiting people for an armed rebellion.","Imprisonment for life, or imprisonment up to ten years, and fine."
"123","Concealing with intent to facilitate design to wage war","Whoever by any act, or by any illegal omission, conceals the existence of a design to wage war, intending to facilitate the waging of war, shall be punished with imprisonment up to ten years and fine.","Knowing about a plot to wage war and hiding it from the authorities to help the plotters.","Imprisonment up to ten years and fine."
"124","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power","Whoever assaults the President of India, or the Governor of any State, with the intent to compel or restrain them from exercising any lawful power, shall be punished with imprisonment up to seven years and fine.","Assaulting the President to force them to resign.","Imprisonment up to seven years and fine."
"124A","Sedition","Whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards the Government established by law in India, shall be punished with imprisonment for life (to which fine may be added), or imprisonment up to three years (to which fine may be added), or fine.","Making speeches or publishing articles that incite violence or public disorder against the government.","Imprisonment for life (with possible fine), or imprisonment up to three years (with possible fine), or fine."
"125","Waging war against any Asiatic power in alliance with the Government of India","Whoever wages war against the Government of any Asiatic power in alliance or at peace with the Government of India, shall be punished with imprisonment for life, to which fine may be added, or imprisonment up to seven years, to which fine may be added, or fine.","An Indian citizen joining a rebel army to fight against a friendly neighbouring country's government.","Imprisonment for life (with possible fine), or imprisonment up to seven years (with possible fine), or fine."
"126","Committing depredation on territories of power at peace with the Government of India","Whoever commits depredation, or prepares to commit depredation, on the territories of any power in alliance or at peace with the Government of India, shall be punished with imprisonment up to seven years and fine, and forfeiture of property used in the depredation.","A private militia from India raids a village across the border in a friendly country.","Imprisonment up to seven years and fine, and forfeiture of property."
"127","Receiving property taken by war or depredation mentioned in sections 125 and 126","Whoever receives any property knowing it to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment up to seven years and fine, and forfeiture of the property.","Buying looted goods that were taken during a raid on a friendly country.","Imprisonment up to seven years and fine, and forfeiture of the property."
"128","Public servant voluntarily allowing prisoner of state or war to escape","Whoever, being a public servant and having the custody of any state prisoner or prisoner of war, voluntarily allows such prisoner to escape, shall be punished with imprisonment for life, or imprisonment up to ten years and fine.","A jailor deliberately lets a captured enemy combatant escape.","Imprisonment for life, or imprisonment up to ten years and fine."
"129","Public servant negligently suffering prisoner of state or war to escape","Whoever, being a public servant and having the custody of any state prisoner or prisoner of war, negligently suffers such prisoner to escape, shall be punished with simple imprisonment up to three years and fine.","A guard falls asleep on duty, allowing a high-security prisoner to escape.","Simple imprisonment up to three years and fine."
"130","Aiding escape of, rescuing, or harbouring such prisoner","Whoever knowingly aids or assists any state prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue such prisoner, or harbours or conceals such prisoner who has escaped, shall be punished with imprisonment for life, or imprisonment up to ten years and fine.","Providing a getaway car to a prisoner of war who has broken out of jail.","Imprisonment for life, or imprisonment up to ten years and fine."
"130A","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"130B","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"131","Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty","Whoever abets the committing of mutiny by an officer, soldier, sailor, or airman in the Army, Navy, or Air Force of India, or attempts to seduce any such person from his allegiance or duty, shall be punished with imprisonment for life, or imprisonment up to ten years and fine.","Trying to persuade an army jawan to desert his post during a conflict.","Imprisonment for life, or imprisonment up to ten years and fine."
"132","Abetment of mutiny, if mutiny is committed in consequence thereof","Whoever abets the committing of mutiny shall, if mutiny is committed in consequence of that abetment, be punished with death or imprisonment for life or imprisonment up to ten years and fine.","Instigating a group of soldiers to mutiny, which they then do.","Death, or imprisonment for life, or imprisonment up to ten years and fine."
"133","Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office","Whoever abets an assault by an officer, soldier, sailor, or airman on his superior officer in the execution of his office, shall be punished with imprisonment up to three years and fine.","Encouraging a soldier to hit his commanding officer who is giving a lawful order.","Imprisonment up to three years and fine."
"134","Abetment of such assault, if the assault is committed","Whoever abets an assault described in Section 133 shall, if the assault is committed, be punished with imprisonment up to seven years and fine.","The abetment described in Section 133 actually results in the assault taking place.","Imprisonment up to seven years and fine."
"135","Abetment of desertion of soldier, sailor or airman","Whoever abets the desertion of any officer, soldier, sailor, or airman in the Army, Navy, or Air Force of India, shall be punished with imprisonment up to two years, or fine, or both.","Helping a soldier plan his unauthorized departure from the army.","Imprisonment up to two years, or fine, or both."
"136","Harbouring deserter","Whoever, knowing that an officer, soldier, sailor, or airman has deserted, harbours him, shall be punished with imprisonment up to two years, or fine, or both.","Giving shelter and hiding a deserter from the army.","Imprisonment up to two years, or fine, or both."
"137","Deserter concealed on board merchant vessel through negligence of master","The master or person in charge of a merchant vessel negligently suffers a deserter from the Army, Navy, or Air Force to be concealed on board, shall be punished with fine up to five hundred rupees.","A ship captain fails to check his crew properly and unknowingly hires a deserter.","Fine up to five hundred rupees."
"138","Abetment of act of insubordination by soldier, sailor or airman","Whoever abets an act of insubordination by an officer, soldier, sailor, or airman in the Army, Navy, or Air Force of India, shall be punished with imprisonment up to six months, or fine, or both.","Encouraging a soldier to willfully disobey a lawful command from a superior.","Imprisonment up to six months, or fine, or both."
"139","Persons subject to certain Acts","No person subject to the Army Act, the Navy Act, or the Air Force Act is subject to punishment under this Code for any offence defined in this Chapter (Chapter VII).","A soldier committing mutiny is tried under the Army Act, not under the IPC sections for mutiny.","Not a penal section; it specifies the jurisdiction of military law."
"140","Wearing garb or carrying token used by soldier, sailor or airman","Whoever, not being a soldier, sailor, or airman in the Military, Naval, or Air Forces, wears any garb or carries any token resembling one used by such forces with the intention that it may be believed that he is such a soldier, sailor, or airman, shall be punished with imprisonment up to three months, or fine up to five hundred rupees, or both.","A civilian wears an army uniform to impersonate a soldier and gain respect or privileges.","Imprisonment up to three months, or fine up to five hundred rupees, or both."
"141","Unlawful assembly","An assembly of five or more persons is designated an ""unlawful assembly"" if the common object of the persons composing that assembly is to overawe the government by criminal force; to resist the execution of any law or legal process; to commit mischief, criminal trespass or other offence; to use criminal force to obtain possession of property or to deprive any person of any incorporeal right; or to use criminal force to compel any person to do what he is not legally bound to do.","A mob of people gathering to forcefully prevent a lawful eviction.","Not a penal section by itself; defines the term for subsequent sections."
"142","Being member of unlawful assembly","Whoever, being aware of facts which render any assembly an unlawful assembly, intentionally joins that assembly, or continues in it, is said to be a member of an unlawful assembly.","A person joins a protest that has turned violent, knowing that the crowd is now intent on damaging public property.","Punishment as per Section 143."
"143","Punishment for unlawful assembly","Whoever is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.","Simply being part of a riotous mob of five or more people with a common illegal object.","Imprisonment up to six months, or fine, or both."
"144","Joining unlawful assembly armed with deadly weapon","Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","A person is part of an unlawful mob while carrying a sword, knife, or iron rod.","Imprisonment up to two years, or fine, or both."
"145","Joining or continuing in unlawful assembly, knowing it has been commanded to disperse","Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","A person remains part of a riotous mob even after a police officer has read out a legal order for the crowd to disperse.","Imprisonment up to two years, or fine, or both."
"146","Rioting","Whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty of the offence of rioting.","A mob with the common object of damaging a shop proceeds to break its windows and loot its goods. Every member is guilty of rioting.","Punishment as per Section 147."
"147","Punishment for rioting","Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Participating in a violent mob action.","Imprisonment up to two years, or fine, or both."
"148","Rioting, armed with deadly weapon","Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","A person participates in a riot while carrying a firearm, axe, or sharp weapon.","Imprisonment up to three years, or fine, or both."
"149","Every member of unlawful assembly guilty of offence committed in prosecution of common object","If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence.","A mob's common object is to beat a person. One member kills that person. Every member of the mob can be charged with murder, as it was a likely consequence of their common object.","Liable for the same punishment as for the offence committed."
"150","Hiring, or conniving at hiring, of persons to join unlawful assembly","Whoever hires or engages, or employs, or promotes, or connives at the hiring, engagement or employment of any person to join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person.","A community leader pays people to form a mob to attack a rival community's property. The leader is liable for the rioting and any damage caused.","Punishment as if they were a member of the unlawful assembly for any offence committed."
"151","Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse","Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.","A person continues to be part of an unarmed but disruptive protest after a valid police order to disperse.","Imprisonment up to six months, or fine, or both."
"152","Assaulting or obstructing public servant when suppressing riot, etc.","Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as a public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","Throwing stones at police officers who are trying to control a riot.","Imprisonment up to three years, or fine, or both."
"153","Wantonly giving provocation with intent to cause riot","Whoever malignantly, or wantonly, by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.","Making a highly inflammatory speech in a volatile area with the intention of sparking a communal riot.","Imprisonment up to one year, or fine, or both."
"153A","Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony","Whoever by words, either spoken or written, or by signs, or by visible representations, or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground, disharmony or feelings of enmity, hatred or ill-will between different groups, shall be punished.","Publishing content online that vilifies a particular religious community and incites hatred against them.","Imprisonment up to three years, or fine, or both. If committed in a place of worship, etc., imprisonment up to five years and fine."
"153B","Imputations, assertions prejudicial to national integration","Whoever makes or publishes any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the Constitution or uphold the sovereignty and integrity of India, shall be punished.","Claiming that a particular linguistic group is inherently disloyal to the nation.","Imprisonment up to three years, or fine, or both."
"154","Owner or occupier of land on which an unlawful assembly is held","Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, who does not use all lawful means to prevent it and to disperse the assembly, shall be punished with fine up to one thousand rupees.","The owner of a field sees a large armed mob gathering on his property and does nothing to stop them or inform the police.","Fine up to one thousand rupees."
"155","Liability of person for whose benefit riot is committed","Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land, such person shall be punishable with fine if he does not use all lawful means to prevent such riot.","A factory owner benefits when a mob attacks a workers' union office. He can be fined if he knew about it and did nothing to prevent it.","Fine."
"156","Liability of agent of owner or occupier for whose benefit riot is committed","Whenever a riot is committed for the benefit of any person who is the owner or occupier of any land, the agent of such person shall be punishable with fine if he did not use all lawful means to prevent such riot.","The manager of an estate who fails to prevent a riot that benefits the estate owner.","Fine."
"157","Harbouring persons hired for an unlawful assembly","Whoever harbours, receives or assembles any persons, knowing that such persons have been hired, engaged or employed to join an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.","Providing food and shelter to people who have been paid to be part of a violent protest.","Imprisonment up to six months, or fine, or both."
"158","Being hired to take part in an unlawful assembly or riot","Whoever is engaged or hired to offer himself to be a member of an unlawful assembly or to join in a riot, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.","A person accepts money to participate in a mob that will block a highway and cause violence.","Imprisonment up to six months, or fine, or both."
"159","Affray","When two or more persons, by fighting in a public place, disturb the public peace, they are said to ""commit an affray"".","Two people get into a fistfight on a busy street, causing a scene and disturbing the peace.","Punishment as per Section 160."
"160","Punishment for committing affray","Whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine up to one hundred rupees, or with both.","The punishment for the two people fighting in the public street.","Imprisonment up to one month, or fine up to one hundred rupees, or both."
"161","[Repealed]","[Repealed by the Prevention of Corruption Act, 1988]","[Repealed]","[Repealed]"
"162","[Repealed]","[Repealed by the Prevention of Corruption Act, 1988]","[Repealed]","[Repealed]"
"163","[Repealed]","[Repealed by the Prevention of Corruption Act, 1988]","[Repealed]","[Repealed]"
"164","[Repealed]","[Repealed by the Prevention of Corruption Act, 1988]","[Repealed]","[Repealed]"
"165","[Repealed]","[Repealed by the Prevention of Corruption Act, 1988]","[Repealed]","[Repealed]"
"165A","[Repealed]","[Repealed by the Prevention of Corruption Act, 1988]","[Repealed]","[Repealed]"
"166","Public servant disobeying law, with intent to cause injury to any person","Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause injury to any person, shall be punished.","A police officer knowingly violates arrest procedures to harass or frame an innocent person.","Simple imprisonment up to one year, or fine, or both."
"167","Public servant framing an incorrect document with intent to cause injury","Whoever, being a public servant, and being charged with the preparation or translation of any document, frames that document in a manner he knows to be incorrect, with intent to cause injury to any person, shall be punished.","A revenue officer intentionally prepares a faulty land record to deprive the true owner of their property.","Imprisonment up to three years, or fine, or both."
"168","Public servant unlawfully engaging in trade","Whoever, being a public servant, and being legally bound not to engage in trade, engages in trade, shall be punished.","A government officer, prohibited from running a business, secretly owns a private company.","Simple imprisonment up to one year, or fine, or both."
"169","Public servant unlawfully buying or bidding for property","Whoever, being a public servant, and being legally bound not to purchase or bid for certain property, purchases or bids for that property, shall be punished.","A court officer involved in an auction purchases property that is being auctioned by his own court.","Simple imprisonment up to two years, or fine, or both; the property may also be confiscated."
"170","Personating a public servant","Whoever pretends to hold any particular office as a public servant, knowing that he does not hold such office, and does any act under colour of such office, shall be punished.","A person dresses as a police officer and conducts a fake raid to extort money.","Imprisonment up to two years, or fine, or both."
"171","Wearing garb or carrying token used by public servant with fraudulent intent","Whoever, not belonging to a certain class of public servants, wears any garb or carries any token resembling one used by that class of public servants, with the intention that it may be believed that he belongs to that class, shall be punished.","A person wears a fake government ID card to gain unauthorized entry into a secure building.","Imprisonment up to three months, or fine up to two hundred rupees, or both."
"171A","Definition of “candidate” and “electoral right”","For the purposes of this Chapter (Chapter IXA), ""candidate"" means a person who has been nominated as a candidate at an election. ""Electoral right"" means the right of a person to stand as a candidate, or to vote.","Defines terms used in the following sections related to elections.","Not a penal section; it is a definition clause."
"171B","Bribery","Whoever gives a gratification to any person with the object of inducing him to exercise his electoral right in a particular way, or to reward him for having done so, commits bribery. Similarly, whoever accepts such gratification also commits bribery.","Giving money to voters to vote for a specific candidate.","Imprisonment up to one year, or fine, or both. If committed by a person who was a candidate, imprisonment up to one year, or fine, or both."
"171C","Undue influence at elections","Whoever voluntarily interferes or attempts to interfere with the free exercise of any electoral right, by threatening injury, or by inducing a belief that divine displeasure will follow, commits the offence of undue influence.","Threatening to evict a tenant if they do not vote for a particular candidate.","Imprisonment up to one year, or fine, or both."
"171D","Personation at elections","Whoever at an election applies for a voting paper or votes in the name of another person, whether living or dead, or in a fictitious name, or who votes more than once, commits personation.","A person votes using a dead relative's name.","Imprisonment up to one year, or fine, or both."
"171E","Punishment for bribery","Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.","Punishment for the act of bribery defined in Section 171B.","Imprisonment up to one year, or fine, or both."
"171F","Punishment for undue influence or personation at an election","Whoever commits the offence of undue influence or personation at an election shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.","Punishment for the acts defined in Sections 171C and 171D.","Imprisonment up to one year, or fine, or both."
"171G","False statement in connection with an election","Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be false or does not believe to be true, in relation to the personal character or conduct of any candidate, shall be punished.","Spreading a false rumor that a candidate has a criminal record.","Fine."
"171H","Illegal payments in connection with elections","Whoever without the general or special authority in writing of a candidate incurs or authorizes expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, for the purpose of promoting the election of such candidate, shall be punished.","A supporter prints and distributes campaign posters for a candidate without the candidate's authorization.","Fine up to five hundred rupees."
"171I","Failure to keep election accounts","Whoever, being required by any law to keep accounts of expenses incurred in connection with an election, fails to keep such accounts, shall be punished.","A candidate does not maintain a record of their election campaign spending as required by law.","Fine up to five hundred rupees."
"172","Absconding to avoid service of summons or other proceeding","Whoever absconds in order to avoid being served with a summons, notice or order proceeding from any public servant, shall be punished.","A witness in a case deliberately hides to avoid receiving a summons to appear in court.","Simple imprisonment up to one month, or fine up to five hundred rupees, or both."
"173","Preventing service of summons or other proceeding, or preventing publication thereof","Whoever in any manner prevents the serving on himself or on any other person of any summons, notice or order, or prevents the lawful affixing of any such document, shall be punished.","A person refuses to open the door to a process server who is trying to serve a court notice.","Simple imprisonment up to one month, or fine up to five hundred rupees, or both."
"174","Not obeying a legal order to attend at a certain place in person or by agent","Whoever, being legally bound to appear in person at a certain place, intentionally omits to appear, shall be punished.","A person who is summoned to court as a witness deliberately does not show up.","Simple imprisonment up to one month, or fine up to five hundred rupees, or both."
"174A","Non-appearance in response to a proclamation under section 82 of CrPC","Whoever fails to appear at the specified place and time as required by a proclamation published under subsection (1) of section 82 of the Code of Criminal Procedure, shall be punished.","A declared absconder continues to evade arrest after a court has issued a proclamation.","Imprisonment up to three years and fine. If the proclamation was for a bailable offence, imprisonment up to six months or fine up to one thousand rupees."
"175","Intentionally omitting to produce a document to a public servant by a person legally bound to produce it","Whoever, being legally bound to produce or deliver up any document to any public servant, intentionally omits to do so, shall be punished.","A person is ordered by a court to produce a land deed as evidence but intentionally withholds it.","Simple imprisonment up to one month, or fine up to five hundred rupees, or both."
"176","Intentionally omitting to give notice or information to a public servant by a person legally bound to give it","Whoever, being legally bound to give any notice or information to a public servant, intentionally omits to do so, shall be punished.","A person fails to report a fatal accident to the police as required by law.","Simple imprisonment up to one month, or fine up to five hundred rupees, or both."
"177","Knowingly furnishing false information to a public servant","Whoever, being legally bound to furnish information on any subject to any public servant, furnishes information which he knows to be false, shall be punished.","Giving a false name and address to a police officer during an investigation.","Simple imprisonment up to six months, or fine up to one thousand rupees, or both."
"178","Refusing oath when duly required to take oath by a public servant","Whoever refuses to bind himself by an oath to state the truth, when required to do so by a public servant legally competent to require such oath, shall be punished.","A witness in a court case refuses to swear an oath or make a solemn affirmation before testifying.","Simple imprisonment up to six months, or fine up to one thousand rupees, or both."
"179","Being legally bound to state truth, but refusing to answer questions","Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him by such public servant, shall be punished.","A witness in a police investigation refuses to answer questions about what they saw.","Simple imprisonment up to six months, or fine up to one thousand rupees, or both."
"180","Refusing to sign a statement made to a public servant","Whoever refuses to sign any statement made by him when required to do so by a public servant legally competent to require that he sign it, shall be punished.","A person gives a written statement to the police but then refuses to sign it.","Simple imprisonment up to three months, or fine up to five hundred rupees, or both."
"181","Knowingly stating to a public servant on oath anything which is false","Whoever, being legally bound by an oath to state the truth on any subject, states anything which is false, shall be punished.","A witness gives false testimony under oath in a court proceeding (perjury).","Imprisonment up to three years and fine."
"182","False information, with intent to cause public servant to use his lawful power to the injury of another person","Whoever gives false information to a public servant, intending to cause such public servant to use his lawful power to injure or annoy another person, shall be punished.","Filing a false police complaint against an enemy to get them arrested.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"183","Resistance to the taking of property by the lawful authority of a public servant","Whoever offers resistance to the lawful taking of any property by a public servant, shall be punished.","Physically preventing a bailiff from seizing property as per a court's attachment order.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"184","Obstructing sale of property offered for sale by authority of a public servant","Whoever intentionally obstructs any sale of property made by a public servant in the execution of his duty, shall be punished.","Creating a disturbance at a public auction conducted by a government official to prevent bidding.","Imprisonment up to one month, or fine up to five hundred rupees, or both."
"185","Illegally purchasing or bidding for property offered for sale by authority of a public servant","Whoever, at a sale of property held by a public servant, purchases or bids for property that he is not legally entitled to purchase or bid for, shall be punished.","A government employee illegally bids for property being auctioned by their own department.","Imprisonment up to one month, or fine up to two hundred rupees, or both."
"186","Obstructing public servant in discharge of public functions","Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished.","Blocking a police vehicle from reaching the scene of a crime.","Imprisonment up to three months, or fine up to five hundred rupees, or both."
"187","Omission to assist public servant when bound by law to give assistance","Whoever, being bound by law to render assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished.","A person refuses to help a police officer catch a criminal when the officer lawfully demands their help.","Simple imprisonment up to one month, or fine up to two hundred rupees, or both."
"188","Disobedience to order duly promulgated by a public servant","Whoever knowingly disobeys any order duly promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to any person lawfully employed, shall be punished.","Violating a curfew order imposed by a District Magistrate.","Imprisonment up to one month, or fine up to two hundred rupees, or both. If such disobedience causes danger to human life, etc., imprisonment up to six months, or fine up to one thousand rupees, or both."
"189","Threat of injury to public servant","Whoever holds out any threat of injury to a public servant to induce him to do any act or to forbear from doing any act connected with his office, shall be punished.","Threatening a tax officer to avoid a high tax assessment.","Imprisonment up to two years, or fine, or both."
"190","Threat of injury to induce person to refrain from applying for protection to public servant","Whoever holds out a threat of injury to any person to induce him to refrain from making a legal application to a public servant for protection from injury, shall be punished.","Threatening a victim to prevent them from going to the police to file a complaint.","Imprisonment up to one year, or fine, or both."
"191","Giving false evidence","Whoever, being legally bound by an oath or by an express provision of law to state the truth, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, is said to give false evidence.","A witness in court lies under oath about what they saw at a crime scene.","Punishment as per Section 193."
"192","Fabricating false evidence","Whoever causes any circumstance to exist or makes any false entry or alters any document with the intention that it may appear in evidence in a judicial proceeding, and thereby cause a person to form an erroneous opinion on a material point, is said to fabricate false evidence.","Planting fake documents to mislead a court investigation.","Punishment as per Section 193."
"193","Punishment for false evidence","Whoever intentionally gives false evidence in any stage of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","Perjury in a murder trial.","Imprisonment up to seven years and fine. If not in a judicial proceeding, imprisonment up to three years and fine."
"194","Giving or fabricating false evidence with intent to procure conviction of capital offence","Whoever gives or fabricates false evidence, intending thereby to cause any person to be convicted of an offence which is capital by law, shall be punished with imprisonment for life or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.","Framing someone for murder by giving false testimony.","Imprisonment for life or rigorous imprisonment up to ten years, and fine."
"195","Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life","Whoever gives or fabricates false evidence intending to cause any person to be convicted of an offence which is punishable with imprisonment for life or imprisonment for seven years or more, shall be punished as if he had committed the offence.","Falsely testifying to get someone convicted for a crime that carries a life sentence.","Punishment as for the offence they were trying to procure conviction for."
"195A","Threatening any person to give false evidence","Whoever threatens another with any injury to his person, property or reputation, to make that person give false evidence or fabricate false evidence, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.","Threatening a witness to force them to lie in court.","Imprisonment up to seven years, or fine, or both."
"196","Using evidence known to be false","Whoever corruptly uses or attempts to use any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence.","A lawyer knowingly presenting forged documents in court.","Punishment as for giving or fabricating false evidence (Section 193)."
"197","Issuing or signing false certificate","Whoever issues or signs any certificate required by law to be given or signed, relating to any fact of which he is legally bound to report the truth, and which he knows to be false, shall be punished in the same manner as if he gave false evidence.","A doctor issuing a false medical certificate of fitness.","Punishment as for giving false evidence (Section 193)."
"198","Using as true a certificate known to be false","Whoever corruptly uses or attempts to use any such certificate as a true certificate, knowing it to be false, shall be punished in the same manner as if he gave false evidence.","Using a forged educational certificate to get a government job.","Punishment as for giving false evidence (Section 193)."
"199","False statement made in declaration which is by law receivable as evidence","Whoever makes any false statement in any declaration which is by law receivable as evidence, knowing it to be false, shall be punished in the same manner as if he gave false evidence.","Making a false statement in an affidavit submitted to court.","Punishment as for giving false evidence (Section 193)."
"200","Using as true such declaration knowing it to be false","Whoever corruptly uses or attempts to use any such declaration as true, knowing it to be false, shall be punished in the same manner as if he gave false evidence.","Using a forged affidavit as evidence in a legal proceeding.","Punishment as for giving false evidence (Section 193)."
"201","Causing disappearance of evidence of offence, or giving false information to screen offender","Whoever, knowing or having reason to believe that an offence has been committed, causes evidence to disappear or gives false information about the offence to screen the offender from legal punishment, shall be punished.","Helping a murderer hide the murder weapon.","If offence is capital: Imprisonment up to seven years and fine. If punishable with life imprisonment: Imprisonment up to three years and fine. For any other offence: imprisonment up to one-fourth of the maximum term for that offence."
"202","Intentional omission to give information of offence by person bound to inform","Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished.","A village headman fails to report a murder he knows about.","Imprisonment up to six months, or fine, or both."
"203","Giving false information respecting an offence committed","Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished.","Providing a false alibi to the police for a suspect.","Imprisonment up to two years, or fine, or both."
"204","Destruction of document to prevent its production as evidence","Whoever secretes or destroys any document which he may be lawfully compelled to produce as evidence, with intent to prevent its production, shall be punished.","Destroying a contract document that has been subpoenaed for a court case.","Imprisonment up to two years, or fine, or both."
"205","False personation for purpose of act or proceeding in suit or prosecution","Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued, shall be punished.","Posing as someone else in court to confess to a crime they didn't commit.","Imprisonment up to three years, or fine, or both."
"206","Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution","Whoever fraudulently removes, conceals, transfers or delivers to any person any property to prevent its seizure as a forfeiture or in execution of a decree, shall be punished.","Hiding assets to prevent them from being seized by court officials.","Imprisonment up to two years, or fine, or both."
