section_number,section_title,description,example_use_cases,punishment
136,Abetment - Section 136,"Provision under Section 136 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
137,Abetment - Section 137,"Provision under Section 137 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
138,Abetment - Section 138,"Provision under Section 138 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
139,Abetment - Section 139,"Provision under Section 139 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
140,Abetment - Section 140,"Provision under Section 140 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
141,Unlawful assembly,"An assembly of five or more persons is designated an 'unlawful assembly', if the common object of the persons composing that assembly is to commit any of the following offences: overawing the government, resisting lawful authority, committing mischief or criminal trespass, or using criminal force.","Mob gathering to attack a person, assembly to resist police action, crowd gathered to destroy property.",Imprisonment up to 6 months or fine or both.
142,Being member of unlawful assembly,"Whoever, being aware of facts which render any assembly an unlawful assembly, intentionally joins that assembly, or continues in it, is said to be a member of an unlawful assembly.","Joining a rioting crowd, participating in mob violence, continuing in an assembly after it becomes unlawful.",Imprisonment up to 6 months or fine or both.
143,Punishment for unlawful assembly,"Whoever is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.","Being part of a mob that threatens public order, participating in illegal gathering.",Imprisonment up to 6 months or fine or both.
144,Joining unlawful assembly armed with deadly weapon,"Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Carrying weapons during riots, joining armed mobs, participating in communal violence with weapons.",Imprisonment up to 2 years or fine or both.
145,Unlawful Assembly and Rioting - Section 145,Provision under Section 145 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
146,Unlawful Assembly and Rioting - Section 146,Provision under Section 146 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
147,Punishment for rioting,"Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Participating in communal riots, violent protests, mob violence causing public disorder.",Imprisonment up to 2 years or fine or both.
148,"Rioting, armed with deadly weapon","Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","Armed participation in riots, carrying weapons during communal violence, using deadly weapons in mob violence.",Imprisonment up to 3 years or fine or both.
149,Unlawful Assembly and Rioting - Section 149,Provision under Section 149 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
150,Unlawful Assembly and Rioting - Section 150,Provision under Section 150 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
151,Unlawful Assembly and Rioting - Section 151,Provision under Section 151 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
152,Unlawful Assembly and Rioting - Section 152,Provision under Section 152 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
153,Unlawful Assembly and Rioting - Section 153,Provision under Section 153 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
154,Unlawful Assembly and Rioting - Section 154,Provision under Section 154 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
155,Unlawful Assembly and Rioting - Section 155,Provision under Section 155 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
156,Unlawful Assembly and Rioting - Section 156,Provision under Section 156 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
157,Unlawful Assembly and Rioting - Section 157,Provision under Section 157 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
158,Unlawful Assembly and Rioting - Section 158,Provision under Section 158 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
159,Unlawful Assembly and Rioting - Section 159,Provision under Section 159 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
160,Unlawful Assembly and Rioting - Section 160,Provision under Section 160 of the Indian Penal Code dealing with public order offences involving groups. This section addresses crimes related to unlawful gatherings and public disorder.,"Riots, unlawful assemblies, public disturbances, mob violence.","Imprisonment up to 2-3 years, fines, or both."
161,Offences by or relating to Public Servants - Section 161,Provision under Section 161 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
162,Offences by or relating to Public Servants - Section 162,Provision under Section 162 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
163,Offences by or relating to Public Servants - Section 163,Provision under Section 163 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
164,Offences by or relating to Public Servants - Section 164,Provision under Section 164 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
165,Offences by or relating to Public Servants - Section 165,Provision under Section 165 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
166,Offences by or relating to Public Servants - Section 166,Provision under Section 166 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
167,Offences by or relating to Public Servants - Section 167,Provision under Section 167 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
168,Offences by or relating to Public Servants - Section 168,Provision under Section 168 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
169,Offences by or relating to Public Servants - Section 169,Provision under Section 169 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
170,Offences by or relating to Public Servants - Section 170,Provision under Section 170 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
171,Offences by or relating to Public Servants - Section 171,Provision under Section 171 of the Indian Penal Code dealing with corruption and misconduct by government officials. This section covers offences committed by or involving public servants.,"Bribery, corruption, abuse of power, misconduct in office.",Imprisonment and fines varying by severity of misconduct.
172,Contempt of Lawful Authority of Public Servants - Section 172,Provision under Section 172 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
173,Contempt of Lawful Authority of Public Servants - Section 173,Provision under Section 173 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
174,Contempt of Lawful Authority of Public Servants - Section 174,Provision under Section 174 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
175,Contempt of Lawful Authority of Public Servants - Section 175,Provision under Section 175 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
176,Contempt of Lawful Authority of Public Servants - Section 176,Provision under Section 176 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
177,Contempt of Lawful Authority of Public Servants - Section 177,Provision under Section 177 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
178,Contempt of Lawful Authority of Public Servants - Section 178,Provision under Section 178 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
179,Contempt of Lawful Authority of Public Servants - Section 179,Provision under Section 179 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
180,Contempt of Lawful Authority of Public Servants - Section 180,Provision under Section 180 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
181,Contempt of Lawful Authority of Public Servants - Section 181,Provision under Section 181 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
182,Contempt of Lawful Authority of Public Servants - Section 182,Provision under Section 182 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
183,Contempt of Lawful Authority of Public Servants - Section 183,Provision under Section 183 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
184,Contempt of Lawful Authority of Public Servants - Section 184,Provision under Section 184 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
185,Contempt of Lawful Authority of Public Servants - Section 185,Provision under Section 185 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
186,Contempt of Lawful Authority of Public Servants - Section 186,Provision under Section 186 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
187,Contempt of Lawful Authority of Public Servants - Section 187,Provision under Section 187 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
188,Contempt of Lawful Authority of Public Servants - Section 188,Provision under Section 188 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
189,Contempt of Lawful Authority of Public Servants - Section 189,Provision under Section 189 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
190,Contempt of Lawful Authority of Public Servants - Section 190,Provision under Section 190 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
191,Contempt of Lawful Authority of Public Servants - Section 191,Provision under Section 191 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
192,Contempt of Lawful Authority of Public Servants - Section 192,Provision under Section 192 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
193,Contempt of Lawful Authority of Public Servants - Section 193,Provision under Section 193 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
194,Contempt of Lawful Authority of Public Servants - Section 194,Provision under Section 194 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
195,Contempt of Lawful Authority of Public Servants - Section 195,Provision under Section 195 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
196,Contempt of Lawful Authority of Public Servants - Section 196,Provision under Section 196 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
197,Contempt of Lawful Authority of Public Servants - Section 197,Provision under Section 197 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
198,Contempt of Lawful Authority of Public Servants - Section 198,Provision under Section 198 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
199,Contempt of Lawful Authority of Public Servants - Section 199,Provision under Section 199 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
200,Contempt of Lawful Authority of Public Servants - Section 200,Provision under Section 200 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
201,Contempt of Lawful Authority of Public Servants - Section 201,Provision under Section 201 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
202,Contempt of Lawful Authority of Public Servants - Section 202,Provision under Section 202 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
203,Contempt of Lawful Authority of Public Servants - Section 203,Provision under Section 203 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
204,Contempt of Lawful Authority of Public Servants - Section 204,Provision under Section 204 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
205,Contempt of Lawful Authority of Public Servants - Section 205,Provision under Section 205 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
206,Contempt of Lawful Authority of Public Servants - Section 206,Provision under Section 206 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
207,Contempt of Lawful Authority of Public Servants - Section 207,Provision under Section 207 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
208,Contempt of Lawful Authority of Public Servants - Section 208,Provision under Section 208 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
209,Contempt of Lawful Authority of Public Servants - Section 209,Provision under Section 209 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
210,Contempt of Lawful Authority of Public Servants - Section 210,Provision under Section 210 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
211,Contempt of Lawful Authority of Public Servants - Section 211,Provision under Section 211 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
212,Contempt of Lawful Authority of Public Servants - Section 212,Provision under Section 212 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
213,Contempt of Lawful Authority of Public Servants - Section 213,Provision under Section 213 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
214,Contempt of Lawful Authority of Public Servants - Section 214,Provision under Section 214 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
215,Contempt of Lawful Authority of Public Servants - Section 215,Provision under Section 215 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
216,Contempt of Lawful Authority of Public Servants - Section 216,Provision under Section 216 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
217,Contempt of Lawful Authority of Public Servants - Section 217,Provision under Section 217 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
218,Contempt of Lawful Authority of Public Servants - Section 218,Provision under Section 218 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
219,Contempt of Lawful Authority of Public Servants - Section 219,Provision under Section 219 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
220,Contempt of Lawful Authority of Public Servants - Section 220,Provision under Section 220 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
221,Contempt of Lawful Authority of Public Servants - Section 221,Provision under Section 221 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
222,Contempt of Lawful Authority of Public Servants - Section 222,Provision under Section 222 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
223,Contempt of Lawful Authority of Public Servants - Section 223,Provision under Section 223 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
224,Contempt of Lawful Authority of Public Servants - Section 224,Provision under Section 224 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
225,Contempt of Lawful Authority of Public Servants - Section 225,Provision under Section 225 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
226,Contempt of Lawful Authority of Public Servants - Section 226,Provision under Section 226 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
227,Contempt of Lawful Authority of Public Servants - Section 227,Provision under Section 227 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
228,Contempt of Lawful Authority of Public Servants - Section 228,Provision under Section 228 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
229,Contempt of Lawful Authority of Public Servants - Section 229,Provision under Section 229 of the Indian Penal Code dealing with obstruction of justice and legal processes. This section deals with interference with legal processes and contempt of authority.,"Contempt of court, obstruction of justice, resistance to legal process.",Imprisonment up to 1-2 years or fines.
230,False Evidence and Offences against Public Justice - Section 230,Provision under Section 230 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
231,False Evidence and Offences against Public Justice - Section 231,Provision under Section 231 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
232,False Evidence and Offences against Public Justice - Section 232,Provision under Section 232 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
233,False Evidence and Offences against Public Justice - Section 233,Provision under Section 233 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
234,False Evidence and Offences against Public Justice - Section 234,Provision under Section 234 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
235,False Evidence and Offences against Public Justice - Section 235,Provision under Section 235 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
236,False Evidence and Offences against Public Justice - Section 236,Provision under Section 236 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
237,False Evidence and Offences against Public Justice - Section 237,Provision under Section 237 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
238,False Evidence and Offences against Public Justice - Section 238,Provision under Section 238 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
239,False Evidence and Offences against Public Justice - Section 239,Provision under Section 239 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
240,False Evidence and Offences against Public Justice - Section 240,Provision under Section 240 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
241,False Evidence and Offences against Public Justice - Section 241,Provision under Section 241 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
242,False Evidence and Offences against Public Justice - Section 242,Provision under Section 242 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
243,False Evidence and Offences against Public Justice - Section 243,Provision under Section 243 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
244,False Evidence and Offences against Public Justice - Section 244,Provision under Section 244 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
245,False Evidence and Offences against Public Justice - Section 245,Provision under Section 245 of the Indian Penal Code dealing with perjury and obstruction of justice. This section addresses crimes against the administration of justice.,"Perjury, giving false evidence, tampering with witnesses, fabricating evidence.",Imprisonment up to 7 years and fines.
